Fold,Train_MAE,Train_R2,Val_MAE,Val_R2,Test_MAE,Test_R2
1,0.49645611365683845,0.6848674080989406,0.6201503011505409,0.5150139529351923,0.5629253055779804,0.5053554783576679
2,0.4983420961491001,0.6906487194718316,0.5928203303999867,0.5325101210947096,0.5982857604535772,0.465682664917039
3,0.4903778588123019,0.6930260830586998,0.6568035336956787,0.4828908391541076,0.6056772163355116,0.4397439810168897
4,0.4906989665302094,0.706124145194039,0.618657485440758,0.45918706827007405,0.5858741288720345,0.46818070460453043
5,0.49933793229588563,0.6918616279670144,0.5807756030094405,0.5422517484843966,0.5880195620389278,0.4912729019688037
Mean,0.49504259348886703,0.6933055967581051,0.6138414507392811,0.506370745987696,0.5881563946556063,0.47404714617298616
Std,0.0042415073174507665,0.00782209023446019,0.029342691347769928,0.03472399662108703,0.016212792480963044,0.025288461548733772
