Fold,Train_MAE,Train_R2,Val_MAE,Val_R2,Test_MAE,Test_R2
1,0.17450589926745477,0.8649449569120717,0.21860269275902922,0.7350882277284789,0.2541032867910416,0.7088248765915113
2,0.1781523397658115,0.8484284169941165,0.23227236035029686,0.7670084369980638,0.26447903793557465,0.7058894035100223
3,0.18585278896872237,0.8567043730170247,0.19550893595523655,0.768016519378208,0.24417438269197358,0.7532618738361896
4,0.17761913412016456,0.8560907326800369,0.24075050146971122,0.7052852704497884,0.2635200781748976,0.7241574399782057
5,0.1700982324255795,0.86155273561975,0.2619019814690425,0.7414128357270238,0.26673626243833987,0.7022879862921989
Mean,0.17724567890954654,0.8575442430446,0.22980729440066328,0.7433622580563124,0.25860260960636544,0.7188843160416256
Std,0.005780056876921278,0.00626009059636931,0.024788201624502605,0.02592822395742169,0.009397976552316924,0.020947079455590965
