Fold,Train_MAE,Train_R2,Val_MAE,Val_R2,Test_MAE,Test_R2
1,0.27299759812818386,0.7527098329617191,0.29407545876205293,0.7037411781325061,0.3073613060792013,0.6954249025152623
2,0.272641657160336,0.7441949734510838,0.3075030706420699,0.6946273189892334,0.31230767982808333,0.6956409435695734
3,0.27695504171664476,0.7549716812319616,0.3054680860156541,0.6625350205902405,0.3131243024838749,0.6782633782799652
4,0.26694562772184144,0.7714599952555244,0.32018806449582443,0.6155712430444158,0.3177660908546301,0.68072972795252
5,0.2686008222910032,0.7553670530002969,0.3264338338101117,0.6643875794972105,0.3149321324528195,0.6796705782020118
Mean,0.27162814940360186,0.7557407071801172,0.3107337027451426,0.6681724680507213,0.3130983023397218,0.6859459061038666
Std,0.0039487051119261405,0.0098782235475586,0.012762639494804549,0.03456149353853618,0.003830472182389697,0.00879566104644947
