Fold,Train_MAE,Train_R2,Val_MAE,Val_R2,Test_MAE,Test_R2
1,0.462636838188702,0.7231305420671723,0.613830236046883,0.5186472562506781,0.5297556342857371,0.6020150812195119
2,0.46155045127442124,0.7356394791528631,0.5907661227400027,0.561242972806125,0.5596642204178072,0.5904676384416596
3,0.4516127643775866,0.7334676639733151,0.6206199660625088,0.5349839650526802,0.5632262010544724,0.5815791888739583
4,0.45515389444645676,0.7463962814093594,0.6060061269875107,0.48278414673862313,0.5772173775282761,0.5497538349026099
5,0.4632934014914811,0.7308616547617064,0.561033394421394,0.5171774841818308,0.5377235548572517,0.6009770969735408
Mean,0.45884946995572956,0.7338991242728833,0.5984511692516599,0.5229671650059874,0.5535173976287089,0.584958568082256
Std,0.005182064542244726,0.008434786798500508,0.023686485846669745,0.02861947727898959,0.01941520157156173,0.02138142421911319
