Actual_File_Name,True_Coupling_log10,Predicted_Coupling_log10,Predicted_True_Ratio_Linear,Min_HeavyDist_Ang,cos_theta,cos_4phi,cos_4psi,FeFe_Dist_Ang
md_030.out,-2.013953465701552,-4.496692162103482,0.0032904955181233854,3.824512663194619,0.9687927,-0.9487918,1.0,4.891317523841302
geom_156.out,-1.4773706650340994,-3.3160275130236627,0.014499170337266378,3.047280490749088,0.499971,0.9992473,0.9969959,7.2254306659921665
geom_29.out,-2.235905145840023,-3.8844198978317444,0.022463904699418773,2.9501994644630387,0.7070798,-0.9158167,0.9970127,9.793494170470364
geom_47.out,-2.046770052136309,-3.6791586577860613,0.02331371023540627,2.6467304872904984,-5.760129e-05,-0.4311319,-0.4315086,9.899742892261647
geom_155.out,-1.9874431974157192,-3.5759287668415993,0.0257937466949746,2.886390672049264,5.760129e-05,-0.4311319,-0.4315086,9.699748209767357
geom_434.out,-2.6298753881439567,-4.214106773067105,0.026047654042780928,2.528246150528267,0.2587682,0.01850232,-0.565527,6.5136630290208455
geom_468.out,-2.070019165573424,-3.6538461979005845,0.02607191716754582,2.5105751033205523,1.928185e-05,-0.4314561,-0.4314574,9.880153231299095
geom_215.out,-2.776561183032057,-4.291386832387698,0.030561477794860455,3.0475357867432824,-0.5000001,0.2252306,-0.5654367,9.960648323620054
md_096.out,-1.9300937264438716,-3.4283198054737447,0.031752207277487045,4.609427950801813,0.9989341,-0.6616012,1.0,5.334366358168794
geom_212.out,-3.1092856939288533,-4.455758811804596,0.04503258548656654,6.051269774266141,0.8660244,-0.7076022,0.996999,7.969689469869326
md_076.out,-1.170942192799476,-2.500332209752152,0.04683925545799422,3.427394428602579,0.9927771,-0.7520881,1.0,6.788695001828334
geom_182.out,-1.8949350606861486,-3.213151589526028,0.048059967320592964,3.510871700625644,0.7070844,-0.5195811,-0.5655495,6.7105995605886815
geom_221.out,-2.3639243815484368,-3.667327744030054,0.04972750131164102,2.50724027364132,2.828869e-08,-0.4314875,-0.4314876,9.903942976069734
md_148.out,-2.7050698865325877,-4.007122969205028,0.04988235138474458,4.656590848570765,0.9995764,-0.7872706,1.0,5.0499628442503415
geom_287.out,-2.2085092692702886,-3.4986452520938656,0.051270082606379615,3.1922595037994643,0.2587885,-0.5489183,-0.5655336,8.5007525243453
geom_482.out,-2.150153013613501,-3.431494864782696,0.05231884511684657,4.266016869506965,-0.4999874,0.4045441,0.996999,9.246105441763088
geom_393.out,-2.9250311297353235,-4.200132330331183,0.05307607503662547,3.075271948101338,0.258819,-0.7955053,-0.5654455,6.993506876028721
geom_211.out,-1.7833692122121783,-3.0569396057159466,0.05326348841181069,3.5102337229936698,0.7071067,0.9994866,0.9970123,10.052563146207287
geom_141.out,-2.074485338290622,-3.282425422537493,0.06195265397565329,2.7954866139853003,0.4999502,0.2463257,-0.4315598,7.176801722380939
geom_356.out,-2.5035196392073713,-3.699441372445733,0.06369102919136889,3.813016369305802,0.4999502,0.2463257,-0.4315598,9.931152851626544
geom_354.out,-1.5869437156505444,-2.76295252876708,0.0666793237873985,2.5677486691109395,0.8660158,-0.4909323,-0.4315093,8.189156793297707
geom_107.out,-2.521205474550613,-3.690063610114777,0.06778628987107,2.999083277410449,0.258819,-0.7955053,-0.5654455,7.803057889382918
geom_188.out,-0.7738761630946084,-1.9352725886328344,0.06896100379774163,3.0319201120751846,1.0,-0.5,0.9535736,5.918693913007498
geom_13.out,-1.1625109572637622,-2.3027217532414284,0.07240844218022328,3.001911033075431,1.0,1.0,-0.7375989,5.203002205438702
geom_422.out,-1.1702945206263753,-2.2822005085624006,0.07728478659674415,2.487640870367948,0.7071068,0.7936536,-0.5654281,7.193828434409943
geom_369.out,-3.029025375822282,-4.106798346424043,0.08360399476694413,3.647687858427308,0.4999728,-0.5332199,-0.5655355,9.550765765752818
geom_421.out,-2.4039604938694077,-3.467678532652748,0.08635390096128474,2.959067717252513,-1.928185e-05,-0.4314561,-0.4314574,9.446321076162402
geom_309.out,-2.380632914209,-3.4383812713182955,0.08754909132602073,3.3823303575817367,0.4999817,0.4584142,0.997005,9.77205599871982
geom_345.out,-2.437906171307348,-3.467582709034154,0.09339496469626762,4.092662175751378,0.2587634,-0.8085362,-0.4315364,9.640123931389784
md_086.out,-3.072858959807213,-4.06173649881989,0.10259411771236018,6.820502642310023,0.9876093,0.9344498,1.0,7.545108599001807
md_082.out,-3.1002605989735597,-4.072861784678896,0.10651206736783335,6.820741197327825,0.9660471,0.7701655,1.0,8.018547243420718
geom_343.out,-3.2233499030862123,-4.142718875743409,0.12040125875314685,6.8980274490243225,0.9659258,0.9999964,0.9970101,7.9912319099896605
geom_181.out,-1.6795637082579462,-2.5962271061212476,0.12115367774655907,2.9464265233085314,0.8660096,-0.5090137,-0.5655927,8.239897322906943
md_048.out,-3.159160517242449,-4.068736735334976,0.1231469845483146,6.66354809570547,0.9791318,0.9934569,1.0,7.936008315116674
geom_385.out,-3.384163384471189,-4.291216890017637,0.1238643974862037,5.034678473956903,0.8660052,-0.6955981,-0.4315232,7.106915509678795
geom_370.out,-1.257053313461278,-2.1496228006976352,0.12806501737635706,2.503475419834196,1.0,-0.5,0.9535736,10.003021625282631
geom_189.out,-2.1874449143328807,-3.075932742137386,0.12927429326721102,2.9843413874429645,0.7070735,0.9994925,0.997021,7.239565706578331
geom_307.out,-1.9815137578656057,-2.860439552782097,0.1321521414696696,2.4557516022028776,0.7070695,0.8479343,-0.5655412,6.434915687565923
geom_175.out,-2.5359729138222313,-3.4144443126246884,0.132290482727578,3.829333173073088,-5.760129e-05,-0.4311319,-0.4315086,9.895716211214072
