Actual_File_Name,True_Coupling_log10,Predicted_Coupling_log10,Predicted_True_Ratio_Linear,Min_HeavyDist_Ang,cos_theta,cos_4phi,cos_4psi,FeFe_Dist_Ang,absS12
geom_156.out,-1.4773706650340994,-2.286474492283389,0.15520159234843173,3.047280490749088,0.499971,0.9992473,0.9969959,7.2254306659921665,0.001899425
geom_155.out,-1.9874431974157192,-2.780470797864978,0.1610543278062503,2.886390672049264,5.760129e-05,-0.4311319,-0.4315086,9.699748209767357,0.001499235
geom_141.out,-2.074485338290622,-2.857691382489887,0.1647380632213535,2.7954866139853003,0.4999502,0.2463257,-0.4315598,7.176801722380939,4.627544e-05
geom_287.out,-2.2085092692702886,-2.8977752104350722,0.20451918755323487,3.1922595037994643,0.2587885,-0.5489183,-0.5655336,8.5007525243453,4.658101e-05
geom_237.out,-1.6915952163265027,-2.3660107322545483,0.21163353396479898,3.129305582185447,0.7071068,0.7936536,-0.5654281,9.38979145368655,0.001427323
geom_182.out,-1.8949350606861486,-2.546539734983327,0.22304645528320347,3.510871700625644,0.7070844,-0.5195811,-0.5655495,6.7105995605886815,9.825006e-05
geom_392.out,-2.1052937672010668,-2.7482274999891367,0.22754446050345395,4.4115291718007485,0.8660148,-0.2743946,0.9970095,7.187247115701533,0.000307433
md_096.out,-1.9300937264438716,-2.559792997735649,0.23458526467775725,4.609427950801813,0.9989341,-0.6616012,1.0,5.334366358168794,0.0008055947
geom_380.out,-1.6715575217964456,-2.2935988669028466,0.23875839726052822,3.3905751876833525,1.0,-0.5,0.9535736,9.902421604631463,0.002010401
geom_419.out,-1.0825364918531564,-1.6451975642951124,0.27374041892821865,2.581578110645696,1.0,-0.4999999,0.2159749,9.27857057828047,0.006828588
geom_405.out,-2.30357356705055,-2.854557500282492,0.28120048588773633,5.0127378440673525,1.0,-0.5,0.9535736,7.812434808423812,0.0001807812
geom_410.out,-2.5462429750205002,-3.087710256908126,0.28743041247177187,4.52242838888246,0.4999545,0.5404253,-0.5655278,8.024879928648465,0.0001136641
geom_384.out,-1.2368545245035163,-1.7775861110480276,0.28791773255916026,2.913432435997959,-2.106085e-05,0.9969957,0.9969997,7.070169191864648,0.004759425
geom_421.out,-2.4039604938694077,-2.9080498829258214,0.31326408792991084,2.959067717252513,-1.928185e-05,-0.4314561,-0.4314574,9.446321076162402,0.000209064
geom_175.out,-2.5359729138222313,-3.0382875947040837,0.3145468346286554,3.829333173073088,-5.760129e-05,-0.4311319,-0.4315086,9.895716211214072,0.0001074745
md_128.out,-1.4468939331742998,-1.9229201674156098,0.3341748530587628,3.026251854630906,0.9817479,0.1720514,1.0,5.4206299567605605,0.002255785
geom_450.out,-1.688873351029439,-2.1506742834485517,0.3453019791503528,4.00602091518317,1.0,-0.4999999,0.2159749,9.005309099421963,0.00137515
geom_211.out,-1.7833692122121783,-2.2430071192550196,0.3470260627966219,3.5102337229936698,0.7071067,0.9994866,0.9970123,10.052563146207287,0.0005574076
geom_404.out,-1.9907855054680947,-2.442320566523101,0.3535614765544893,3.1682213690589864,0.7070695,0.8479343,-0.5655412,8.662238273453463,0.0006888546
geom_228.out,-1.1623563565973039,-1.5878356546387113,0.3754228497099434,2.412348422802975,-1.625304e-09,0.996999,0.996999,8.162697354588127,0.005460828
geom_125.out,-1.5456038885415684,-1.9518549093007216,0.39241805351393766,3.110019266134215,2.024279e-06,0.9970081,0.9970071,7.492787904839693,0.002001156
geom_282.out,-2.768858675703941,-3.173229209338275,0.3941209004609441,5.42436305887235,0.5000002,0.5897607,-0.4315365,9.58704594253282,1.456598e-05
geom_345.out,-2.437906171307348,-2.8359461662515444,0.39990791984016105,4.092662175751378,0.2587634,-0.8085362,-0.4315364,9.640123931389784,0.0002849637
md_131.out,-2.066561647444459,-2.459881891045284,0.4042776721978883,4.540688279359639,0.9829886,0.05406596,1.0,7.482904384683999,0.0003976164
geom_60.out,-2.8258864629284526,-3.2174071179187465,0.4059563555598252,3.298499983656056,-5.277947e-05,-0.5656403,-0.5655352,8.018469768956543,7.782979e-05
geom_302.out,-1.594589184581426,-1.981044121243069,0.4107192547854819,3.2374546857832622,-3.356131e-05,0.9969988,0.996999,9.19605427786287,3.071039e-06
geom_354.out,-1.5869437156505444,-1.9718997300783794,0.4121392586631651,2.5677486691109395,0.8660158,-0.4909323,-0.4315093,8.189156793297707,0.006398224
geom_402.out,-1.9586812799109603,-2.3341485247361127,0.421243056371742,5.000172670878477,1.0,1.0,-0.7375989,5.748696543547937,0.0005429499
