Filename,Coupling_eV,Diabatic_E1_Ha,Diabatic_E2_Ha,Energy_Gap_eV,Total_Energy_Ha,Overlap_S12,Interlayer_Dist_Ang,FeFe_Dist_Ang,Min_HeavyDist_Ang,Max_HeavyDist_Ang,NN_Dist_1_Ang,Lateral_Slippage_Ang,dataset,split,J_cdft_eV,log10_J_cdft,dz,dx,dy,cos_theta,cos_4phi,sin_4phi,cos_4psi,sin_4psi,d_lateral,cos_4alpha,sin_4alpha,S12_b3lyp,S12_srsh_singlet,S12_srsh_cation,S12_qchem_truth,J_eht_eV,J_zindo_eV,J_dftb_eV,S12,S12_sq,absS12,log_absS12,log10_Coupling,KRR_Predicted_log10
geom_507.out,0.00029660426,-4501.02006922,-4501.05938562,-1.069854286977514,-9002.07945484,0.0019796313,6.991172639188711,9.117217209531262,6.321243741854842,15.256022181876048,7.264384249873764,5.852106866320212,704_systematic,train,0.0002966043,-3.527823,6.991138,5.10171,2.867151,0.9659135,0.4463663,-0.8948503,-0.9969932,0.077489,5.852179,-0.4593257,0.8882679,1.781235e-06,1.086393e-06,1.036423e-06,,-3.775242e-07,2.914911e-05,,1.036423e-06,1.0741726349289998e-12,1.036423e-06,-5.984462538809637,-3.5249040007593666,
geom_254.out,0.00029660426,-4501.02148312,-4501.02146325,0.0005406905169133,-9002.04294637,0.0012530508,4.999798256882925,7.074383080957095,5.014644682994,14.303751149605828,5.241568263135567,5.004888946480477,704_systematic,train,0.0002966043,-3.527823,4.999798,5.004196,-0.09326574,1.0,-0.4999999,-0.8660254,0.2159749,0.9763989,5.005065,0.9972231,-0.07447238,-2.961411e-05,-2.649543e-05,-2.169947e-05,,-0.0001828424,0.0004945921,,-2.169947e-05,4.708669982808997e-10,2.169947e-05,-4.663550853459364,-3.5249040007593666,
geom_417.out,0.00028027742,-4501.02418283,-4501.04716881,-0.6254806961515433,-9002.07135164,-0.0021955373,4.968193797612476,7.866666466153246,4.993138434537641,14.60631034833568,6.268974670137055,6.099302556773597,704_systematic,train,0.0002802774,-3.552412,4.968145,6.097232,-0.1654597,0.8659991,0.9699778,-0.2431934,-0.5655799,-0.8246935,6.099477,0.9941174,-0.1083079,-2.133161e-05,-1.292032e-05,-1.30547e-05,,-2.615617e-05,0.0008889177,,-1.30547e-05,1.7042519209e-10,1.30547e-05,-4.884233070645873,-3.549323860647298,
44_ang_xy_job_002.out,0.00027483514,-4501.10787549,-4501.10556733,0.0628082650297552,-9002.21344282,-0.0005223622,4.399949654769371,4.884669896727925,4.407039044778252,11.243791916902412,4.454602027936952,2.121424765457146,704_systematic,test,0.0002748351,-3.560928,4.39995,1.528894,1.470689,1.0,1.0,6.938894000000001e-17,1.0,0.0,2.121425,-0.9969901,0.0775286,0.002053867,0.001526063,0.00148403,,0.0001467161,0.01219939,,0.00148403,2.2023450409e-06,0.00148403,-2.828557319315044,-3.557778783653609,
geom_371.out,0.00027483514,-4501.08017787,-4501.07412347,0.1647487001548767,-9002.15430134,0.0005733681,3.833508924713744,8.970689778789032,2.591935828337384,16.68851026602015,5.704361098298827,8.110331955685297,704_systematic,train,0.0002748351,-3.560928,3.833559,8.103487,-0.3322739,0.2587801,-0.8751388,0.4838719,-0.4314901,0.9021177,8.110296,0.9865946,-0.1631903,-0.005108049,-0.002089252,-0.001837202,,-0.001432648,0.05239983,,-0.001837202,3.375311188804e-06,0.001837202,-2.735843090239317,-3.557778783653609,
geom_139.out,0.000272114,-4501.02074176,-4501.02073937,6.503525118769176e-05,-9002.04148113,0.0005902957,5.999899311878028,7.3484692283495345,6.000476768507649,13.649945006138305,6.16740392931256,4.242783078042709,704_systematic,train,0.000272114,-3.565249,5.999899,3.057675,2.9414,1.0,1.0,-2.359224e-16,1.0,0.0,4.242783,-0.9969969,0.07744101,8.756126e-06,5.813191e-06,5.364289e-06,,-1.53938e-05,0.0001107898,,5.364289e-06,2.8775596475521e-11,5.364289e-06,-5.270487751701253,-3.5620687828936397,
geom_229.out,0.000272114,-4501.02138731,-4501.10214223,-2.197454430085014,-9002.12352954,-0.0007575025,7.932811854880411,7.93426174298693,5.156310856752529,12.943692509989605,6.829440756323902,0.1516755790983362,704_systematic,train,0.000272114,-3.565249,7.932774,0.0002937214,-0.1515486,0.7070918,0.03508414,0.9993844,0.9970072,-0.07730889,0.1515489,0.9999699,0.007752446,0.000100669,5.295959e-05,4.862319e-05,,-4.457205e-06,0.0005940547,,4.862319e-05,2.3642146057761e-09,4.862319e-05,-4.313156543061243,-3.5620687828936397,
geom_248.out,0.00026667172,-4501.10177419,-4501.10127336,0.0136282854486591,-9002.20304755,0.0006034777,6.885716029332992,8.11842489109039,3.3157270603330726,14.411191277524908,6.0553271648214855,4.30066709658661,704_systematic,test,0.0002666717,-3.574023,6.885828,3.221566,2.848922,0.4999728,-0.5332199,-0.8459767,-0.5655355,-0.8247239,4.300563,-0.9700798,0.2427861,0.00265706,0.0006253585,0.0005824506,,0.0007496017,0.03057441,,0.0005824506,3.3924870144036e-07,0.0005824506,-3.234740902272511,-3.570778044375579,
md_007.out,0.00026395058,-4501.01966931,-4501.01990702,-0.0064684218930438,-9002.03957633,-0.0025407997,7.096194038007247,9.168239638560175,7.120973286910225,15.86793260224693,7.437847132880387,5.80522594263276,slater_111_md,train,0.0002639504,-3.578478,7.09619,-2.66223,5.158611,0.999873,-0.6868196,0.7268279,1.0,-1.725643e-05,5.805061,-0.3286772,0.9444423,8.964991e-08,-5.686358e-09,9.191869e-08,-0.0025408,-4.472077e-07,6.27088e-06,,9.191869e-08,8.4490455713161e-15,9.191869e-08,-7.036591448979436,-3.575199058208508,
geom_470.out,0.00025306602,-4501.10454494,-4501.08148565,0.6274755638995941,-9002.18603059,-0.0005154075,3.968076322654229,9.839268321484072,3.394736950934932,17.923528961241114,6.416390599128844,9.003642118595723,704_systematic,train,0.000253066,-3.596766,3.968028,8.99931,-0.2811782,0.8660148,-0.2743946,0.9616172,0.9970095,-0.07727926,9.003701,0.9922055,-0.1246123,-0.001722467,-0.001584969,-0.00141752,,0.0004939591,,,-0.00141752,2.0093629504e-06,0.00141752,-2.84847080456017,-3.593347394426039,
