Actual_File_Name,True_Coupling_log10,Predicted_Coupling_log10,Predicted_True_Ratio_Linear,Min_HeavyDist_Ang,cos_theta,cos_4phi,cos_4psi,FeFe_Dist_Ang,absS12
md_030.out,-2.013953465701552,-4.268171615551336,0.0055690594002390965,3.824512663194619,0.9687927,-0.9487918,1.0,4.891317523841302,0.003200509
geom_155.out,-1.9874431974157192,-3.7353180965352646,0.017870022564099836,2.886390672049264,5.760129e-05,-0.4311319,-0.4315086,9.699748209767357,0.001499235
geom_47.out,-2.046770052136309,-3.6733758062313284,0.02362622012206416,2.6467304872904984,-5.760129e-05,-0.4311319,-0.4315086,9.899742892261647,0.0004953484
md_096.out,-1.9300937264438716,-3.5395699781194185,0.024576710192292527,4.609427950801813,0.9989341,-0.6616012,1.0,5.334366358168794,0.0008055947
geom_468.out,-2.070019165573424,-3.659943810684914,0.025708418135164827,2.5105751033205523,1.928185e-05,-0.4314561,-0.4314574,9.880153231299095,0.0004541368
geom_354.out,-1.5869437156505444,-3.163715746471785,0.026498907500952636,2.5677486691109395,0.8660158,-0.4909323,-0.4315093,8.189156793297707,0.006398224
geom_156.out,-1.4773706650340994,-3.0495173497818966,0.026782635774958364,3.047280490749088,0.499971,0.9992473,0.9969959,7.2254306659921665,0.001899425
geom_221.out,-2.3639243815484368,-3.9217935933267087,0.02767775038164017,2.50724027364132,2.828869e-08,-0.4314875,-0.4314876,9.903942976069734,0.004687343
geom_182.out,-1.8949350606861486,-3.395641967937099,0.03157134563119923,3.510871700625644,0.7070844,-0.5195811,-0.5655495,6.7105995605886815,9.825006e-05
geom_215.out,-2.776561183032057,-4.2404303997153665,0.034366142242189895,3.0475357867432824,-0.5000001,0.2252306,-0.5654367,9.960648323620054,0.001462708
geom_212.out,-3.1092856939288533,-4.512775809287841,0.039492068773120365,6.051269774266141,0.8660244,-0.7076022,0.996999,7.969689469869326,4.435213e-06
geom_287.out,-2.2085092692702886,-3.608884413458248,0.039776343349793485,3.1922595037994643,0.2587885,-0.5489183,-0.5655336,8.5007525243453,4.658101e-05
geom_345.out,-2.437906171307348,-3.836784068279046,0.039913710502830185,4.092662175751378,0.2587634,-0.8085362,-0.4315364,9.640123931389784,0.0002849637
geom_141.out,-2.074485338290622,-3.4592268926198506,0.041234282849134045,2.7954866139853003,0.4999502,0.2463257,-0.4315598,7.176801722380939,4.627544e-05
md_148.out,-2.7050698865325877,-4.0563052470496785,0.044541479594373413,4.656590848570765,0.9995764,-0.7872706,1.0,5.0499628442503415,1.337862e-05
md_076.out,-1.170942192799476,-2.4920273452990855,0.047743565325299574,3.427394428602579,0.9927771,-0.7520881,1.0,6.788695001828334,0.006985713
geom_107.out,-2.521205474550613,-3.82115988735795,0.050123984520563186,2.999083277410449,0.258819,-0.7955053,-0.5654455,7.803057889382918,9.716383e-05
geom_29.out,-2.235905145840023,-3.496946447165895,0.054822482636089756,2.9501994644630387,0.7070798,-0.9158167,0.9970127,9.793494170470364,0.001835187
geom_39.out,-1.811992857019341,-3.0222972959912022,0.061616292229881776,2.7981063635889543,0.7070967,0.00522205,0.9969955,6.453302042174766,0.000378305
geom_181.out,-1.6795637082579462,-2.8897861020235447,0.061627933637179375,2.9464265233085314,0.8660096,-0.5090137,-0.5655927,8.239897322906943,0.001980003
geom_393.out,-2.9250311297353235,-4.127387891972688,0.06275426361715582,3.075271948101338,0.258819,-0.7955053,-0.5654455,6.993506876028721,0.0005848267
geom_421.out,-2.4039604938694077,-3.557058126921507,0.07029142810781329,2.959067717252513,-1.928185e-05,-0.4314561,-0.4314574,9.446321076162402,0.000209064
geom_456.out,-2.794592220523164,-3.9383469100326867,0.07181998506701047,6.000002998010251,1.0,-0.4999999,0.2159749,6.000002998010251,3.978621e-05
geom_375.out,-2.728459940301065,-3.860581230210675,0.07376981767611142,2.6049801797758465,-3.149271e-05,-0.5655437,-0.5655417,8.029726245161164,0.003814032
